Peticion,Latencia_ms
1,118
2,118
3,118
4,116
5,118
6,118
7,117
8,117
9,118
10,117
11,118
12,127
13,127
14,125
15,127
16,126
17,125
18,127
19,126
20,127
21,125
22,128
23,127
24,128
25,128
26,126
27,127
28,126
29,127
30,126
31,128
32,129
33,129
34,129
35,128
36,129
37,127
38,127
39,129
40,128
41,129
42,129
43,129
44,129
45,127
46,129
47,128
48,129
49,128
50,129
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,4
73,5
74,5
75,5
76,5
77,5
78,4
79,5
80,4
81,4
82,11
83,11
84,11
85,10
86,12
87,12
88,12
89,9
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,14
99,14
100,14
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,3
126,5
127,5
128,5
129,12
130,12
131,10
132,12
133,12
134,12
135,12
136,13
137,11
138,13
139,13
140,12
141,14
142,12
143,14
144,14
145,14
146,14
147,14
148,16
149,16
150,16
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,1
160,3
161,2
162,3
163,1
164,4
165,3
166,1
167,2
168,2
169,3
170,1
171,1
172,5
173,1
174,1
175,1
176,1
177,2
178,1
179,1
180,1
181,1
182,2
183,2
184,2
185,2
186,3
187,1
188,1
189,1
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,1
202,1
203,1
204,2
205,2
206,2
207,1
208,1
209,2
210,1
211,1
212,1
213,2
214,2
215,2
216,1
217,1
218,2
219,2
220,3
221,3
222,2
223,3
224,4
225,1
226,2
227,5
228,5
229,2
230,2
231,2
232,2
233,6
234,2
235,2
236,2
237,3
238,3
239,3
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,3
248,3
249,3
250,3
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,3
260,2
261,2
262,2
263,3
264,3
265,3
266,4
267,4
268,4
269,4
270,4
271,4
272,2
273,5
274,5
275,3
276,5
277,2
278,3
279,3
280,3
281,3
282,5
283,5
284,7
285,4
286,4
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,1
298,1
299,1
300,1
301,1
302,1
303,2
304,1
305,1
306,1
307,0
308,2
309,0
310,1
311,1
312,2
313,1
314,1
315,1
316,1
317,1
318,2
319,1
320,2
321,1
322,2
323,2
324,2
325,2
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,5
344,5
345,5
346,5
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,3
357,3
358,3
359,3
360,2
361,3
362,3
363,3
364,2
365,3
366,4
367,4
368,4
369,4
370,4
371,5
372,6
373,2
374,2
375,6
376,5
377,2
378,2
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,4
388,4
389,8
390,4
391,4
392,4
393,6
394,2
395,6
396,6
397,2
398,6
399,3
400,3
401,2
402,2
403,3
404,3
405,2
406,3
407,3
408,4
409,3
410,4
411,4
412,4
413,5
414,5
415,5
416,5
417,4
418,5
419,4
420,5
421,6
422,5
423,6
424,5
425,7
426,7
427,7
428,7
429,1
430,1
431,1
432,1
433,2
434,2
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,4
449,4
450,4
451,0
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,5
471,5
472,5
473,5
474,5
475,6
476,6
477,7
478,7
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,3
487,3
488,3
489,3
490,3
491,3
492,4
493,4
494,4
495,4
496,5
497,5
498,5
499,5
500,5
501,0
502,3
503,3
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,1
512,5
513,5
514,5
515,5
516,5
517,5
518,5
519,2
520,5
521,5
522,6
523,3
524,6
525,3
526,6
527,3
528,6
529,3
530,3
531,3
